,job_name,company,country,location,min_salary,max_salary,description,posted_date,work_type,tags,source
0,Data Scientist (TS/SCI cleared),Johns Hopkins Applied Physics Laboratory ,US,"North Laurel, Prince George's County",85038.04,85038.04,"Description Are you passionate about building solutions for our greatest national security challenges? Are you searching for engaging work with an employer that prioritizes impact, innovation, and personal development? Do you value working in a creative and collaborative environment? If so, we're looking for someone like you to join our team at APL. The Threat Analytic Systems (QAI) Group is seeking engineers, scientists, and developers with a curiosity and drive for learning who can translate …",2026-09-02T05:12:37Z,unknown,engineering-jobs,adzuna
1,Senior Data Scientist (TS/SCI cleared),Johns Hopkins Applied Physics Laboratory ,US,"North Laurel, Prince George's County",93539.16,93539.16,"Description Are you passionate about building solutions for our greatest national security challenges? Are you searching for engaging work with an employer that prioritizes impact, innovation, and personal development? Do you value working in a creative and collaborative environment? If so, we're looking for someone like you to join our team at APL. The Threat Analytic Systems (QAI) Group is seeking talented team members who will help provide our nation with ground-breaking capabilities that br…",2026-09-01T11:40:26Z,unknown,it-jobs,adzuna
2,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Mount Juliet, Wilson County",61873.33,61873.33,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T10:27:58Z,unknown,it-jobs,adzuna
3,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Mitchellville, Sumner County",51996.29,51996.29,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
4,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Murfreesboro, Rutherford County",51821.89,51821.89,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-09-02T06:09:54Z,unknown,it-jobs,adzuna
5,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Adams, Robertson County",49575.01,49575.01,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:39Z,unknown,it-jobs,adzuna
6,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Charlotte, Dickson County",47705.43,47705.43,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
7,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Lebanon, Wilson County",50355.17,50355.17,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:38Z,unknown,it-jobs,adzuna
8,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Pleasant View, Cheatham County",46761.58,46761.58,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:39Z,unknown,it-jobs,adzuna
9,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Hartsville, Trousdale County",49234.03,49234.03,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
