,job_name,company,country,location,min_salary,max_salary,description,posted_date,work_type,tags,score,matched,source
0,Data Scientist (TS/SCI cleared),Johns Hopkins Applied Physics Laboratory ,US,"North Laurel, Prince George's County",85038.04,85038.04,"Description Are you passionate about building solutions for our greatest national security challenges? Are you searching for engaging work with an employer that prioritizes impact, innovation, and personal development? Do you value working in a creative and collaborative environment? If so, we're looking for someone like you to join our team at APL. The Threat Analytic Systems (QAI) Group is seeking engineers, scientists, and developers with a curiosity and drive for learning who can translate …",2026-09-02T05:12:37Z,unknown,engineering-jobs,5,"(('job_title', ('data scientist',)),)",adzuna
1,Senior Data Scientist (TS/SCI cleared),Johns Hopkins Applied Physics Laboratory ,US,"North Laurel, Prince George's County",93539.16,93539.16,"Description Are you passionate about building solutions for our greatest national security challenges? Are you searching for engaging work with an employer that prioritizes impact, innovation, and personal development? Do you value working in a creative and collaborative environment? If so, we're looking for someone like you to join our team at APL. The Threat Analytic Systems (QAI) Group is seeking talented team members who will help provide our nation with ground-breaking capabilities that br…",2026-09-01T11:40:26Z,unknown,it-jobs,5,"(('job_title', ('data scientist',)),)",adzuna
2,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Antioch, Davidson County",58051.44,58051.44,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-09-02T06:10:02Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
3,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Brentwood, Williamson County",74272.08,74272.08,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T04:28:05Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
4,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Goodlettsville, Davidson County",50267.94,50267.94,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-09-02T06:10:03Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
5,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Hendersonville, Sumner County",58339.42,58339.42,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T04:28:08Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
6,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Smyrna, Rutherford County",52396.86,52396.86,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T16:27:49Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
7,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Franklin, Simpson County",47563.6,47563.6,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T10:28:04Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
8,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Whites Creek, Davidson County",47878.35,47878.35,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T04:28:08Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
9,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Mount Juliet, Wilson County",61873.33,61873.33,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T10:27:58Z,unknown,it-jobs,6,"(('description', ('data scientist',)), ('job_title', ('data scientist',)))",adzuna
